This is title
cocaine,./FILE_root/distort/surpass/suburb/element/norm/execute/associate,1
screw,./FILE_root/distort/owl/terrify/arrangement/temper/domestic/purify,1
betray,./FILE_root/distort/surpass/illuminate/tunnel/sensation/attitude/primary,2
underestimate,./FILE_root/priest/comparable/profess/attractive/default/refresh/weapon,0
chip,./FILE_root/priest/maintain/fertilizer/estimate/approve/submit/clip,2
anticipate,./FILE_root/distort/deadline/stride/slum/commonplace/depression,2
betray,./FILE_root/priest/claim/swap/flutter/legal,1
cocaine,./FILE_root/distort/surpass/suburb/element/epoch/brilliant/modify,0
abundant,./FILE_root/distort/owl/incidentally/artery/management/leaflet/grant,1
accuse,./FILE_root/distort/owl/terrify/arrangement/temper/domestic,0
principal,./FILE_root/distort/owl/incidentally/opaque/exhaust/fellowship/arrogant,1
skip,./FILE_root/priest/claim/identical/contradict/trend/brutal/grave,1
obstacle,./FILE_root/priest/maintain/fertilizer/estimate/unanimous/air-condition/given,2
alarm,./FILE_root/distort/surpass/suburb/element/epoch/bust,1
van,./FILE_root/distort/surpass/refute/genetic/defect/cape,0
ceramic,./FILE_root/distort/deadline/gleam/novelty/threaten/boom,0
reluctant,./FILE_root/distort/deadline/gleam/release/electricity,1
caution,./FILE_root/distort/owl/terrify/arrangement/temper/domestic/luminous,1
screw,./FILE_root/priest/comparable/profess/attractive/default/refresh/weapon,2
illuminate,./FILE_root/distort/owl/triple/flaw/professional/humble,0
stab,./FILE_root/distort/owl/incidentally/reproach/compact/canvas,2
species,./FILE_root/priest/claim/swap/flutter/legal,2
erosion,./FILE_root/priest/maintain/fertilizer/inhabit/domain/integral/blank,2
notable,./FILE_root/distort/owl/incidentally/artery,0
extent,./FILE_root/distort/deadline/stride/liberal/setback/curse/scrub,2
abundant,./FILE_root/priest/maintain/fertilizer/inhabit/domain,0
compete,./FILE_root/distort/owl/incidentally/reproach/compact/collision,1
glide,./FILE_root/priest/maintain/fertilizer/inhabit/booklet/hospitality/discharge,0
assemble,./FILE_root/distort/surpass/suburb/element/epoch/bust,2
posture,./FILE_root/distort/surpass/suburb/element/norm/slope/amend,2
purity,./FILE_root/priest/maintain/fertilizer/inhabit/dwell/random,2
betray,./FILE_root/priest/maintain/fertilizer/estimate/shed/deprive/evoke,2
diplomat,./FILE_root/distort/surpass/illuminate/innumerable/stab/constitution,1
purity,./FILE_root/distort/owl/incidentally/artery/supplementary/inject,0
hoist,./FILE_root/distort/surpass/refute,2
reluctant,./FILE_root/distort/owl/incidentally/expert/expansion/thrive/elaborate,1
contend,./FILE_root/distort/owl/incidentally/expert/expansion/nil,1
exploit,./FILE_root/priest/claim/identical/dolphin/paradox/panic,0
haul,./FILE_root/distort/deadline/stride/slum/commonplace/depression/withhold,0
exploit,./FILE_root/priest/maintain/limp/sprinkle/dome/congress/successor,1
engagement,./FILE_root/priest/maintain/fertilizer/estimate/unanimous/air-condition,1
cholesterol,./FILE_root/distort/surpass/interim/biography/mob/inherit,0
adore,./FILE_root/priest/claim/identical/dolphin/plausible/pursue,0
adore,./FILE_root/distort/deadline/stride/slum/finite/specialty/relief,0
manifest,./FILE_root/distort/owl/triple/reliance/marsh/merge/additional,2
cereal,./FILE_root/distort/surpass/interim/biography/mob/inherit/linen,2
underestimate,./FILE_root/distort/surpass/illuminate/innumerable/stab,2
instinct,./FILE_root/priest/maintain/fertilizer/estimate/electric,0
purity,./FILE_root/priest/comparable/profess/solidarity,1
van,./FILE_root/distort/deadline/stride/liberal/setback/hound,0
complicated,./FILE_root/priest,1
skip,./FILE_root/priest/maintain,1
caution,./FILE_root/priest/maintain/fertilizer/estimate/approve,2
pastime,./FILE_root/distort/owl/incidentally/reproach/compact/vocational/insight,0
abundant,./FILE_root/distort/surpass/illuminate/innumerable/stab/burial/oak,2
compete,./FILE_root/distort/surpass/illuminate/consume/stump/strain/optimistic,1
cereal,./FILE_root/priest/claim/identical/contradict/devote/verbal/cane,1
settle,./FILE_root/priest/comparable/profess/attractive/adolescent/involve/perplex,1
prolong,./FILE_root/priest/maintain/fertilizer/estimate/approve,1
outrage,./FILE_root/distort/owl/triple/reliance/decisive/sneak,2
abolish,./FILE_root/distort/owl/triple/reliance/decisive,0
parameter,./FILE_root/distort/surpass/refute/transition/mock/design,2
bypass,./FILE_root/priest/comparable/contact/discriminate/slump/streak,1
ingenious,./FILE_root/priest/claim/identical/dolphin/hierarchy/pistol,0
posture,./FILE_root/distort/owl/incidentally/reproach/compact,1
trial,./FILE_root/distort/surpass/illuminate/innumerable/stab,1
prolong,./FILE_root/priest/maintain/limp/sprinkle/dome/congress/ultraviolet,1
screw,./FILE_root/distort/owl/incidentally/expert/majority/bracket/corrode,1
assemble,./FILE_root/priest/comparable/contact/discriminate/procedure,0
municipal,./FILE_root/distort/deadline/stride/liberal/setback/diplomat,1
van,./FILE_root/priest/maintain/fertilizer/inhabit/booklet,2
purity,./FILE_root/distort/deadline/stride/slum/commonplace/imply,0
abundant,./FILE_root/distort/surpass/refute/genetic/defect,0
instinct,./FILE_root/distort/deadline/stride,2
engagement,./FILE_root/distort/owl/triple,1
impair,./FILE_root/distort/owl/incidentally/artery/management,1
diplomat,./FILE_root/distort/surpass/interim/label/fuse/vision,2
compose,./FILE_root/distort/deadline/gleam/release/drill/resident/veto,1
compulsory,./FILE_root/distort/surpass/illuminate/tunnel/sensation/attitude/primary,1
slump,./FILE_root/distort/deadline/gleam/release/electricity/prone,2
compile,./FILE_root/distort/owl/incidentally/expert/expansion/nil,0
repel,./FILE_root/priest/claim/swap/flutter/oppose/alleviate/peculiar,2
advocate,./FILE_root/priest/claim/identical/contradict/trend/startle/vent,2
explore,./FILE_root/priest/claim/identical/drag/exchange,2
municipal,./FILE_root/distort/owl/incidentally/opaque/exhaust/fellowship/arrogant,0
aesthetic,./FILE_root/distort/deadline/gleam/release/electricity/prone,2
revelation,./FILE_root/priest/claim/identical/contradict/devote/verbal,1
accuse,./FILE_root/distort/surpass/illuminate/innumerable/tackle/plateau,2
screw,./FILE_root/priest/claim/identical/dolphin/hierarchy/pistol,2
abolish,./FILE_root/priest/comparable/profess/attractive/default,1
hoist,./FILE_root/priest/claim/identical/drag/exchange/twist/property,2
hesitate,./FILE_root/distort/owl/incidentally/artery/management/leaflet/grant,0
abolish,./FILE_root/priest/maintain/fertilizer/estimate/unanimous/flush/fabricate,2
array,./FILE_root/priest/comparable/profess/attractive/default/refresh/weapon,1
exploit,./FILE_root/priest/maintain/limp/aid/logical/quantitative/robust,0
explore,./FILE_root/distort/surpass/illuminate/consume/stump/formal,0
affirm,./FILE_root/distort/surpass/suburb/reward/relish/ascribe,2
cholesterol,./FILE_root/distort/deadline/stride/slum/finite/menace/revive,1
slump,./FILE_root/distort/surpass/illuminate/innumerable/stab/burial/courtesy,2
gloom,./FILE_root/priest/claim/identical/contradict/devote/verbal,1
reign,./FILE_root/distort/surpass/refute/transition/mock/penalty/tack,0
attribute,./FILE_root/priest/claim/identical/contradict/propaganda/chief,2
species,./FILE_root/distort/surpass/interim/biography/mob/inherit,0
contend,./FILE_root/distort/surpass/illuminate/innumerable/tackle/plateau/assimilate,1
skip,./FILE_root/distort/deadline/stride/slum/commonplace/imply/accident,0
drawback,./FILE_root/priest/maintain/fertilizer/bully/imaginative/endure,2
